股票编号,日期,流动资产,速动资产,流动负债
00084,2017-09,83699.99999999999,166000.0,151600.0
00084,2017-03,82300.0,167399.99999999997,150900.0
00084,2016-09,90800.0,176600.0,150300.0
00084,2016-03,91500.0,177600.00000000003,113300.0
00084,2015-09,100000.0,171900.0,93100.0
00084,2015-03,105200.0,175700.0,95200.0
00085,2018-12,52900.0,160799.99999999997,263200.0
00085,2018-06,41600.0,166700.00000000003,266900.0
00085,2017-12,33900.0,147200.0,252300.0
00085,2017-06,30299.999999999996,157700.0,260000.0
00085,2016-12,23000.0,283100.0,394000.0
00085,2016-06,24100.0,268700.0,387400.0
00085,2015-12,11500.0,473800.0,137400.0
00085,2015-06,50300.0,417500.0,170100.00000000003
00087,2018-12,588000.0,3730800.0,3324200.0
00087,2018-06,651500.0,3801500.0,2677900.0
00087,2017-12,712900.0000000001,2666300.0,2715500.0
00087,2017-06,714000.0,2468000.0,2498100.0
00087,2016-12,935600.0,2375200.0,2338900.0
00087,2016-06,980000.0,2552300.0,2597900.0
00087,2015-12,1023300.0,2616300.0,2262400.0
00087,2015-06,898100.0,2561000.0,2617200.0000000005
00088,2018-09,299900.0,659700.0,55700.0
00088,2018-03,292700.0,609200.0,38600.0
00088,2017-09,338300.0,612300.0,19000.0
00088,2017-03,353400.00000000006,639500.0,36500.0
00088,2016-09,379200.0,613800.0,30200.0
00088,2016-03,363800.0,596800.0,13200.0
00088,2015-09,356400.0,585500.0,13100.0
00088,2015-03,375400.0,562600.0,16800.0
00089,2018-12,9602.8,19000.0,129700.0
00089,2018-06,8577.7,17000.0,79700.0
00089,2017-12,8508.73,16299.999999999998,72500.0
00089,2017-06,8833.17,14700.0,47699.99999999999
00089,2016-12,9103.59,17200.0,30299.999999999996
00089,2016-06,8696.18,14900.0,45900.0
00089,2015-12,8523.27,15100.0,48700.0
00089,2015-06,8025.37,13200.0,41300.0
00090,2018-12,1482.9,12200.0,31400.0
00090,2018-06,1495.2,11800.0,30500.0
00090,2017-12,1420.6,12600.0,30000.0
